longitude;latitude;housing_median_age;total_rooms;total_bedrooms;ocean_proximity;median_house_value
-12239;376;360;17700;4990;NEAR OCEAN;2731000
-12123;3796;370;23510;5640;INLAND;572000
-12126;3799;270;4290;1020;INLAND;875000
-12149;3856;520;17770;3680;INLAND;1378000
-12209;3738;340;19590;3420;NEAR BAY;4147000
-11918;3416;270;18320;4150;NEAR OCEAN;1860000
-12192;3834;20;77470;11330;INLAND;1810000
-11906;3438;330;14650;2620;<1H OCEAN;2303000
-11639;3369;100;116590;20070;INLAND;2388000
-11821;3381;430;9050;1990;NEAR OCEAN;1622000
-12076;3865;170;23190;4300;INLAND;1559000
-11796;3406;340;22260;3810;<1H OCEAN;1832000
-12114;3892;160;20690;3120;INLAND;2120000
-1182;3396;370;21270;5330;<1H OCEAN;1646000
-12158;3701;440;31920;5650;INLAND;2340000
-12213;3801;510;12620;3090;NEAR BAY;1393000
-11823;3376;210;490;140;NEAR OCEAN;875000
-11826;3414;230;13360;3960;<1H OCEAN;2050000
-12236;4055;210;25000;4660;INLAND;1133000
-12176;3675;210;11410;2570;<1H OCEAN;1557000
-11557;3283;310;14940;2890;INLAND;675000
-12194;3841;150;12630;2110;INLAND;2609000
-11825;3393;360;24520;7340;<1H OCEAN;1000000
-11707;3307;80;27560;3430;<1H OCEAN;4441000
-1181;3406;360;14630;3690;<1H OCEAN;1792000
-1172;3404;240;15870;2220;INLAND;1734000
-1222;3779;440;16210;4520;NEAR BAY;1347000
-11707;3304;40;22710;5780;<1H OCEAN;2101000
-11704;3254;70;9380;2970;NEAR OCEAN;675000
-11692;328;330;15180;2680;<1H OCEAN;1604000
-12225;3979;160;21270;4120;INLAND;722000
-11839;3428;240;46940;8200;<1H OCEAN;1662000
-12233;4186;190;35990;6950;INLAND;586000
-12189;3746;50;15190;1860;<1H OCEAN;5000010
-1182;3389;400;25380;5640;<1H OCEAN;1079000
-12218;379;360;47600;6100;NEAR BAY;5000010
-11796;3382;290;21760;4680;<1H OCEAN;1804000
-11807;3392;360;15600;3200;<1H OCEAN;1740000
-12244;3779;520;14470;1860;NEAR BAY;5000010
-12208;3794;440;21850;3570;NEAR BAY;2321000
-12108;3902;130;18390;2750;INLAND;2096000
-12167;3854;130;61410;10190;INLAND;3265000
-11911;3433;140;40260;7690;<1H OCEAN;1918000
-12113;3931;170;34420;7050;INLAND;1289000
-1178;3377;290;54360;7070;<1H OCEAN;3495000
-12143;3862;360;17650;4380;INLAND;730000
-12201;3795;80;38660;5390;NEAR BAY;2982000
-11846;3405;210;36390;10020;<1H OCEAN;3875000
-11761;3408;120;44270;4350;INLAND;1587000
-11826;3424;350;16660;2800;<1H OCEAN;3444000
-11804;3381;220;40570;6240;<1H OCEAN;2410000
-11465;3279;210;440;330;INLAND;250000
-12143;3854;440;18790;3590;INLAND;1015000
-11814;3393;310;32050;7270;<1H OCEAN;2239000
-11831;3391;360;9610;1730;<1H OCEAN;1811000
-12102;3694;330;15410;3130;INLAND;1177000
-12048;3732;130;36410;8970;INLAND;1306000
-11878;3426;240;40720;5820;<1H OCEAN;2545000
-11813;3381;360;17490;3220;<1H OCEAN;2271000
-12183;3845;360;8390;1580;INLAND;1227000
-1171;3258;330;3930;760;NEAR OCEAN;1227000
-12178;3866;180;42240;6320;INLAND;1399000
-1187;3428;250;23770;4910;<1H OCEAN;1961000
-11778;3368;150;18340;3300;<1H OCEAN;2343000
-12138;3871;70;48420;9350;INLAND;1330000
-12142;3847;110;56650;15070;INLAND;978000
-11738;3398;100;6420;1760;INLAND;1625000
-12188;3729;440;20260;3960;<1H OCEAN;2741000
-1170;3273;170;60500;11430;<1H OCEAN;1276000
-11743;3381;130;47700;7180;INLAND;2952000
-12129;3863;240;28680;5270;INLAND;2130000
-11694;3282;350;17370;2850;<1H OCEAN;1592000
-1172;328;360;40180;10670;NEAR OCEAN;1684000
-12222;3737;260;4400;2020;NEAR OCEAN;3500000
-11836;3393;190;31030;9180;<1H OCEAN;2125000
-1181;3417;460;17740;3150;INLAND;2796000
-11789;3382;210;15910;2980;<1H OCEAN;1791000
-12273;3843;290;26770;6910;<1H OCEAN;1432000
-12169;3662;190;19070;3230;<1H OCEAN;2449000
-12205;3795;200;5630;1070;NEAR BAY;1908000
-11841;3389;350;11940;2920;<1H OCEAN;5000010
-12164;3785;220;19990;4150;INLAND;2539000
-11802;3395;360;17050;2990;<1H OCEAN;1798000
-12228;3749;290;41480;6350;NEAR OCEAN;4572000
-11822;3452;70;45240;7350;INLAND;3116000
-11806;3406;280;21270;6250;<1H OCEAN;1739000
-12212;3768;350;19580;4840;NEAR BAY;1489000
-11691;3371;190;68070;11640;INLAND;1897000
-11819;3404;450;9630;2340;<1H OCEAN;1349000
-11797;3368;260;16160;2920;<1H OCEAN;2321000
-12194;373;300;17580;2480;<1H OCEAN;3325000
-11818;3401;390;3220;820;<1H OCEAN;1488000
-11771;3406;270;21270;6280;INLAND;913000
-12058;3877;150;21550;3940;INLAND;1412000
-11834;3384;360;14070;2310;<1H OCEAN;3319000
-12197;3793;40;32410;4640;INLAND;3070000
-11919;3541;120;28350;4710;INLAND;1490000
-1238;3944;330;20240;4590;<1H OCEAN;936000
-12159;3978;160;27540;5700;INLAND;865000
-11769;3354;200;17670;2800;<1H OCEAN;2720000
-11904;3537;460;16370;3380;INLAND;753000
-11708;327;360;21030;3900;NEAR OCEAN;970000
-11551;3312;210;10240;2180;INLAND;467000
-11869;3408;230;2040;400;NEAR OCEAN;5000010
-11819;3412;360;28330;7200;<1H OCEAN;1721000
-11814;3375;390;19950;6340;NEAR OCEAN;4000000
-12205;3734;310;14430;2150;<1H OCEAN;4165000
-12139;3861;360;23960;5360;INLAND;1366000
-12068;3529;370;13540;2930;NEAR OCEAN;2250000
-12241;3765;320;34360;8680;NEAR OCEAN;2324000
-11766;3413;190;39950;5540;INLAND;2541000
-11836;3417;460;12680;2400;<1H OCEAN;2291000
-11836;3388;310;25180;5430;<1H OCEAN;2958000
-11822;3405;360;12430;4700;<1H OCEAN;1375000
-11816;3414;410;30390;4820;<1H OCEAN;5000010
-12249;3775;480;23870;4240;NEAR OCEAN;3212000
-11725;3294;150;18040;3390;NEAR OCEAN;3705000
-11725;3286;270;25300;4690;NEAR OCEAN;5000010
-12161;3952;240;16100;3240;INLAND;598000
-11917;3429;280;7310;1550;NEAR OCEAN;2250000
-11801;3455;20;27010;5300;INLAND;1374000
-11795;3405;310;23490;5390;<1H OCEAN;1545000
-11724;3279;180;25390;6160;NEAR OCEAN;2750000
-11797;3414;330;13280;3480;INLAND;1360000
-11834;3404;420;20100;4940;<1H OCEAN;1346000
-11928;3427;440;7060;1760;NEAR OCEAN;1667000
-1180;3389;340;19320;3150;<1H OCEAN;2133000
-11724;3275;410;19890;5140;NEAR OCEAN;2260000
-11826;3416;170;29430;7690;<1H OCEAN;1875000
-1197;3442;430;18020;5570;<1H OCEAN;2479000
-11787;336;340;34150;7790;<1H OCEAN;4829000
-12215;3768;300;22610;4430;NEAR BAY;2134000
-11826;3423;380;11070;1940;<1H OCEAN;2637000
-11895;3541;210;39990;7270;INLAND;995000
-11789;3377;350;17990;3430;<1H OCEAN;1896000
-11719;3405;330;30070;4980;INLAND;1346000
-12059;3736;110;39460;9780;INLAND;873000
-1227;3835;140;23130;4350;<1H OCEAN;1465000
-11724;3274;430;22160;3750;NEAR OCEAN;2977000
-12247;3777;520;22410;4430;NEAR BAY;3984000
-12208;374;520;7660;2030;NEAR BAY;3167000
-11836;3386;340;18650;3450;<1H OCEAN;3059000
-12258;3808;270;108390;16370;NEAR BAY;2856000
-11808;3407;320;40890;9750;<1H OCEAN;2055000
-11798;3408;170;36400;8300;INLAND;1522000
-12004;3886;160;27080;4810;INLAND;1177000
-1221;374;230;17550;5080;NEAR BAY;2935000
-12196;3752;260;42110;7410;<1H OCEAN;2239000
-11908;3778;170;16310;3350;INLAND;1300000
-11826;3399;360;20160;5050;<1H OCEAN;1035000
-11727;3305;150;33330;8080;NEAR OCEAN;1224000
-12026;3711;330;10970;2540;INLAND;507000
-11828;3388;190;27580;6750;<1H OCEAN;1797000
-11691;3375;130;108860;21270;INLAND;1234000
-12203;3734;160;17550;4100;<1H OCEAN;2312000
-11774;3411;280;34940;5660;INLAND;2147000
-11964;3634;320;29580;6700;INLAND;567000
-12184;3738;340;7620;1820;<1H OCEAN;2018000
-12049;373;350;13130;3240;INLAND;576000
-11827;3416;470;14530;3560;<1H OCEAN;2555000
-12208;3769;360;23500;4990;NEAR BAY;1957000
-11841;3415;330;40320;8680;<1H OCEAN;4259000
-11728;3366;150;45730;9280;<1H OCEAN;1636000
-11963;3664;330;10360;1810;INLAND;1104000
-11834;3397;450;22300;3640;<1H OCEAN;1882000
-11813;3378;450;10160;1720;NEAR OCEAN;4345000
-12201;3737;250;22130;3600;<1H OCEAN;3609000
-11787;336;350;15980;3980;<1H OCEAN;5000000
-11825;3397;380;12310;3460;<1H OCEAN;1066000
-11861;3419;340;7030;1270;<1H OCEAN;2101000
-12208;3738;330;27710;6590;NEAR BAY;3536000
-11606;3415;150;103770;23310;INLAND;668000
-11771;3363;160;16410;3540;<1H OCEAN;2197000
-12102;377;160;34760;6500;INLAND;1254000
-12254;3774;420;20060;4150;NEAR OCEAN;2711000
-11809;3387;310;34980;7280;<1H OCEAN;2460000
-11713;3275;280;22790;6710;NEAR OCEAN;1500000
-11711;3274;250;28460;6440;NEAR OCEAN;987000
-11833;3398;380;30630;7960;<1H OCEAN;1491000
-11805;339;360;10470;2270;<1H OCEAN;1550000
-11826;3378;210;21880;7060;NEAR OCEAN;1647000
-11956;3653;190;27460;4950;INLAND;957000
-11828;3368;80;28420;5220;NEAR OCEAN;2875000
-11896;3541;290;35480;7290;INLAND;871000
-1223;379;410;20530;4350;NEAR BAY;2230000
-12147;3848;240;23590;4620;INLAND;673000
-1176;3394;260;29250;5750;INLAND;1531000
-11918;364;390;17300;3100;INLAND;1292000
-11861;3431;40;19490;4580;<1H OCEAN;2852000
-11794;3388;350;16940;2960;<1H OCEAN;2393000
-11764;3408;330;19870;4550;INLAND;1226000
-12192;3655;440;34940;6350;NEAR OCEAN;4528000
-11776;3388;90;48380;7590;<1H OCEAN;3078000
-11947;3514;190;41900;6900;INLAND;883000
-11814;3413;160;35690;8210;<1H OCEAN;2511000
-12188;3732;400;13310;3740;<1H OCEAN;1725000
-11814;3395;370;14620;2430;<1H OCEAN;3020000
-11654;3387;160;36480;10350;INLAND;704000
-12155;4048;140;24130;5240;INLAND;774000
-12109;3897;130;14670;2210;INLAND;1919000
-11708;3272;320;22860;4680;NEAR OCEAN;1019000
-11675;3285;170;48630;8450;<1H OCEAN;2174000
-12294;385;460;22800;4920;<1H OCEAN;1170000
-11846;3512;160;40840;8120;INLAND;855000
-1170;327;230;27850;4680;NEAR OCEAN;1310000
-11957;367;300;23700;4120;INLAND;723000
-11829;3404;410;6590;2910;<1H OCEAN;1325000
-12242;4044;160;9940;4350;INLAND;764000
-11788;3373;320;19470;3550;<1H OCEAN;1775000
-11785;3362;180;7290;1050;<1H OCEAN;5000010
-11947;354;320;21670;4210;INLAND;698000
-12226;3754;160;21180;3330;NEAR BAY;3760000
-11686;3423;130;47600;9380;INLAND;1478000
-11702;3268;140;39860;6750;NEAR OCEAN;2674000
-12079;3606;290;19160;3860;<1H OCEAN;875000
-12158;3979;190;26360;5230;INLAND;1086000
-11806;3403;360;210;70;<1H OCEAN;1750000
-11704;3274;330;38800;7700;NEAR OCEAN;1407000
-12061;3512;310;14860;3450;<1H OCEAN;1654000
-12132;3797;430;24530;4900;INLAND;888000
-11716;3306;160;19880;2790;NEAR OCEAN;4045000
-11766;3351;180;26260;4350;<1H OCEAN;1896000
-11811;3414;440;32980;6150;<1H OCEAN;4348000
-12246;3776;280;10720;1650;NEAR BAY;3677000
-1181;3405;260;14950;3280;<1H OCEAN;1523000
-12176;3691;230;12760;4370;<1H OCEAN;1550000
-12188;3768;230;22340;2700;INLAND;3372000
-1182;3404;440;15820;5440;<1H OCEAN;1250000
-12134;3855;110;28380;4980;INLAND;1140000
-1187;3428;270;35360;6460;<1H OCEAN;2383000
-12244;3776;380;22020;4520;NEAR BAY;4559000
-11813;3379;200;66780;17970;NEAR OCEAN;2429000
-11781;3412;230;70630;11760;INLAND;1926000
-11831;3374;360;24640;4720;NEAR OCEAN;3500000
-11968;3663;390;12370;2560;INLAND;653000
-11719;3334;150;33100;4880;<1H OCEAN;3144000
-12187;3982;110;51030;8250;INLAND;1597000
-11979;3674;520;1730;870;INLAND;750000
-11622;3372;280;8260;2580;INLAND;588000
-11794;3394;260;19620;5400;<1H OCEAN;1450000
-11715;3302;40;150290;22790;NEAR OCEAN;4504000
-11809;3403;270;37970;5970;<1H OCEAN;2768000
-11837;3398;390;3030;690;<1H OCEAN;3318000
-1212;3867;260;15460;2870;INLAND;1154000
-11712;3404;250;24950;4380;INLAND;1466000
-11822;3412;280;33060;10250;<1H OCEAN;1854000
-11742;3406;270;25320;4950;INLAND;1431000
-11973;3674;140;62020;15510;INLAND;647000
-11854;3417;110;10800;1740;<1H OCEAN;3159000
-12122;3843;200;20540;3390;INLAND;2193000
-12206;3737;180;30580;6610;<1H OCEAN;5000010
-11834;3405;520;25300;4580;<1H OCEAN;3216000
-12046;3733;40;7860;1160;INLAND;1382000
-12048;349;200;38420;6300;<1H OCEAN;1201000
-11925;3428;360;15300;3410;NEAR OCEAN;2319000
-12219;3774;360;8470;2120;NEAR BAY;871000
-12266;3847;230;22460;4370;<1H OCEAN;1726000
-12202;3739;350;22970;4970;<1H OCEAN;2397000
-12013;3906;220;24650;5390;INLAND;875000
-11715;3293;160;27180;4380;<1H OCEAN;1853000
-12126;3867;180;18300;3130;INLAND;1418000
-1183;3405;440;16120;6500;<1H OCEAN;1156000
-11712;3273;500;23070;4240;NEAR OCEAN;1688000
-11799;3405;350;17920;3170;<1H OCEAN;1511000
-11875;3442;280;10000;2060;<1H OCEAN;1917000
-11842;3402;280;31670;7370;<1H OCEAN;3947000
-12163;3804;250;20190;4110;INLAND;1838000
-1185;3402;280;51090;14820;<1H OCEAN;4833000
-11714;3272;450;11400;3100;NEAR OCEAN;1563000
-12146;387;320;9650;1830;INLAND;939000
-12157;3916;330;20330;3750;INLAND;685000
-11722;3392;50;168840;28650;INLAND;1309000
-1182;3385;330;25570;7310;<1H OCEAN;1491000
-1172;3279;340;7570;2120;NEAR OCEAN;1922000
-11802;3393;330;47110;9880;<1H OCEAN;1847000
-12336;394;210;10810;2540;<1H OCEAN;715000
-1173;3413;420;21150;5570;INLAND;715000
-11693;3285;150;32730;8950;<1H OCEAN;1190000
-11765;3408;400;16090;2580;INLAND;1582000
-11706;3304;170;17850;2550;<1H OCEAN;2780000
-11621;3366;190;15960;2950;INLAND;1009000
-11856;3421;360;12860;2420;<1H OCEAN;1968000
-11723;3411;220;11620;2210;INLAND;813000
-12126;3797;310;11890;2950;INLAND;505000
-11748;3394;190;18910;4650;INLAND;1129000
-12107;3771;390;2230;370;INLAND;2125000
-11762;3408;240;28010;5540;INLAND;1360000
-11814;3401;460;17460;4470;<1H OCEAN;1568000
-11766;3415;200;25240;3110;INLAND;3955000
-11974;3672;250;39720;8420;INLAND;585000
-12132;3798;370;32470;6430;INLAND;941000
-11894;3537;230;11060;2520;INLAND;597000
-11733;3417;130;36160;6650;INLAND;1063000
-12213;3744;380;28350;4470;NEAR BAY;4466000
-11825;3408;440;14250;4380;<1H OCEAN;2000000
-11802;3405;340;16100;5130;<1H OCEAN;1563000
-1179;3413;370;18010;4220;<1H OCEAN;1330000
-11741;3397;340;23160;3650;INLAND;1578000
-11824;3395;370;6490;1470;<1H OCEAN;975000
-12203;3737;160;34020;11930;<1H OCEAN;5000010
-11713;3275;200;22710;6020;NEAR OCEAN;1576000
-11725;3274;360;35480;9560;NEAR OCEAN;2882000
-12235;3758;300;50390;15640;NEAR OCEAN;3450000
-12194;3734;290;33770;8530;<1H OCEAN;2293000
-12167;3668;380;55610;12920;<1H OCEAN;1683000
-11786;3374;340;22540;6300;<1H OCEAN;1625000
-11979;3676;520;24080;4980;INLAND;613000
-12228;3785;520;22460;4720;NEAR BAY;1527000
-12051;3732;130;21090;4770;INLAND;896000
-1182;3386;270;27320;8670;<1H OCEAN;1602000
-12089;393;170;22820;4310;INLAND;1551000
-11708;3408;340;450;110;INLAND;5000010
-12241;3774;340;14030;2620;NEAR BAY;2552000
-12165;4088;150;29090;5490;INLAND;613000
-12217;3776;380;17640;3970;NEAR BAY;982000
-11821;3382;430;10050;1990;NEAR OCEAN;1625000
-12094;3905;80;37580;7170;INLAND;1515000
-11828;3397;310;20170;5660;<1H OCEAN;1070000
-12204;3726;240;49730;7090;<1H OCEAN;5000010
-12095;3765;140;52000;11190;INLAND;1070000
-12151;3855;450;30320;6310;INLAND;1379000
-12203;3794;210;55410;7760;NEAR BAY;2793000
-11711;3275;200;16670;4690;NEAR OCEAN;1011000
-11897;3538;320;13610;3630;INLAND;468000
-1218;3723;180;25810;3580;<1H OCEAN;2724000
-11814;3378;440;21010;4960;NEAR OCEAN;2179000
-11808;3402;140;37890;8100;<1H OCEAN;1442000
